variable_name,role,feature_family,used_in_current_frozen_pipeline,source_location,notes
albumin_filled_by_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable value was filled by bounded LOCF.
albumin_missing_after_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward QC flag indicating the base variable remains missing after bounded LOCF.
albumin_observed_in_block,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable was observed in the current block.
base_excess_art_filled_by_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable value was filled by bounded LOCF.
base_excess_art_missing_after_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward QC flag indicating the base variable remains missing after bounded LOCF.
base_excess_art_observed_in_block,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable was observed in the current block.
bicarbonate_art_filled_by_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable value was filled by bounded LOCF.
bicarbonate_art_missing_after_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward QC flag indicating the base variable remains missing after bounded LOCF.
bicarbonate_art_observed_in_block,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable was observed in the current block.
bilirubin_total_filled_by_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable value was filled by bounded LOCF.
bilirubin_total_missing_after_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward QC flag indicating the base variable remains missing after bounded LOCF.
bilirubin_total_observed_in_block,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable was observed in the current block.
block_end_h,implementation_only,timing_and_censoring,yes,src/chapter1_mortality_decomposition/instances.py; src/chapter1_mortality_decomposition/model_ready.py,Block end time in hours from ICU admission.
block_end_not_after_icu_end_proxy,implementation_only,valid_instance_qc,yes,src/chapter1_mortality_decomposition/instances.py,Censoring validity check against proxy ICU end time.
block_exists_structurally,implementation_only,valid_instance_qc,yes,src/chapter1_mortality_decomposition/instances.py,Structural instance-existence flag.
block_index,implementation_only,instance_keys,yes,src/chapter1_mortality_decomposition/instances.py; src/chapter1_mortality_decomposition/model_ready.py,8-hour block index within stay.
block_start_h,implementation_only,timing_and_censoring,yes,src/chapter1_mortality_decomposition/instances.py; src/chapter1_mortality_decomposition/model_ready.py,Block start time in hours from ICU admission.
blood_pressure_group_observed_in_block,implementation_only,valid_instance_qc,yes,src/chapter1_mortality_decomposition/instances.py,Core-vital coverage flag for the blood-pressure group.
cardiac_rate_group_observed_in_block,implementation_only,valid_instance_qc,yes,src/chapter1_mortality_decomposition/instances.py,Core-vital coverage flag for the cardiac-rate group.
core_temp_filled_by_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable value was filled by bounded LOCF.
core_temp_missing_after_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward QC flag indicating the base variable remains missing after bounded LOCF.
core_temp_observed_in_block,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable was observed in the current block.
core_vital_coverage_sufficient,implementation_only,valid_instance_qc,yes,src/chapter1_mortality_decomposition/instances.py,Whether the current block meets the minimum core-group coverage rule.
covered_core_vital_group_count,implementation_only,valid_instance_qc,yes,src/chapter1_mortality_decomposition/instances.py,Number of core physiologic groups observed in the current block.
creatinine_filled_by_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable value was filled by bounded LOCF.
creatinine_missing_after_locf,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward QC flag indicating the base variable remains missing after bounded LOCF.
creatinine_observed_in_block,implementation_only,carry_forward_qc,yes,src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py,Carry-forward provenance flag indicating the base variable was observed in the current block.
