asic_base_variable,asic_example_columns,clinical_concept,role,mimic_module,mimic_primary_table,mimic_secondary_table,item_dictionary,candidate_itemids_or_source_logic,raw_unit_expected,unit_normalization_rule,within_block_aggregation_rule,demo_coverage_estimate,mapping_quality,risk_flag,decision_note,source_evidence,final_role,freeze_decision,freeze_note
heart_rate,heart_rate_obs_count|heart_rate_mean|heart_rate_median|heart_rate_min|heart_rate_max|heart_rate_last,Heart rate,shared_primary,icu,chartevents,,d_items,220045 Heart Rate,bpm in MIMIC; bpm target in ASIC,No numeric conversion needed; keep bpm as-is.,"Later derive obs_count, mean, median, min, max, last per 8h block from raw values.",220045 present in 140/140 demo ICU stays.,direct,low,External unit reference matches bpm-to-bpm exactly; prior mapping stands and no semantic issue was introduced.,"ASIC source_map canonical_name=heart_rate uses raw HF; d_items 220045 label=Heart Rate; demo chartevents: 13,913 rows across 140 stays.",shared_primary,direct_or_near_direct,Retained as shared-primary direct heart-rate mapping.
sbp,sbp_obs_count|sbp_mean|sbp_median|sbp_min|sbp_max|sbp_last,Systolic blood pressure,shared_primary,icu,chartevents,,d_items,Use 220179 Non Invasive Blood Pressure systolic and 220050 Arterial Blood Pressure systolic as one aligned SBP concept; retain source identity for later dedup/preference if needed.,mmHg,Keep mmHg as-is.,"Later derive obs_count, mean, median, min, max, last per 8h block after deduplicating simultaneous invasive/non-invasive recordings rather than summing them.",220179/220050 present in 139/140 demo ICU stays.,direct,medium,"Concept is direct, but MIMIC mixes invasive and non-invasive SBP sources that may need later tie-breaking.","ASIC source_map canonical_name=sbp uses raw SAP; d_items 220179 NBP systolic and 220050 ABP systolic; demo chartevents: 13,872 rows across 139 stays.",shared_primary,direct_or_near_direct,Retained as shared-primary direct blood-pressure mapping with invasive/non-invasive source handling deferred to preprocessing.
map,map_obs_count|map_mean|map_median|map_min|map_max|map_last,Mean arterial pressure,shared_primary,icu,chartevents,,d_items,Use 220181 Non Invasive Blood Pressure mean and 220052 Arterial Blood Pressure mean as one aligned MAP concept; retain source identity for later dedup/preference if needed.,mmHg in MIMIC; mmHg target in ASIC,No numeric conversion needed; keep mmHg as-is.,"Later derive obs_count, mean, median, min, max, last per 8h block after deduplicating simultaneous invasive/non-invasive recordings.",220181/220052 present in 139/140 demo ICU stays.,direct,medium,"External unit reference confirms MAP is a pure unit match; the remaining implementation issue is still invasive vs non-invasive source handling, not units.","ASIC source_map canonical_name=map uses raw MAP; d_items 220181 NBP mean and 220052 ABP mean; demo chartevents: 13,902 rows across 139 stays.",shared_primary,direct_or_near_direct,Retained as shared-primary direct MAP mapping with invasive/non-invasive source handling deferred to preprocessing.
dbp,dbp_obs_count|dbp_mean|dbp_median|dbp_min|dbp_max|dbp_last,Diastolic blood pressure,shared_primary,icu,chartevents,,d_items,Use 220180 Non Invasive Blood Pressure diastolic and 220051 Arterial Blood Pressure diastolic as one aligned DBP concept; retain source identity for later dedup/preference if needed.,mmHg,Keep mmHg as-is.,"Later derive obs_count, mean, median, min, max, last per 8h block after deduplicating simultaneous invasive/non-invasive recordings.",220180/220051 present in 139/140 demo ICU stays.,direct,medium,"Concept is direct, but invasive/non-invasive mixing should remain explicit.","ASIC source_map canonical_name=dbp uses raw DAP; d_items 220180 NBP diastolic and 220051 ABP diastolic; demo chartevents: 13,873 rows across 139 stays.",shared_primary,direct_or_near_direct,Retained as shared-primary direct blood-pressure mapping with invasive/non-invasive source handling deferred to preprocessing.
resp_rate,resp_rate_obs_count|resp_rate_mean|resp_rate_median|resp_rate_min|resp_rate_max|resp_rate_last,Total respiratory rate,shared_primary,icu,chartevents,,d_items,Prefer 220210 Respiratory Rate and 224690 Respiratory Rate (Total); do not silently substitute ventilator set rate 224688 or spontaneous-only 224689 into the primary mapping without explicit review.,breaths/min in MIMIC; breaths/min target in ASIC,Treat MIMIC bpm/insp/min as breaths per minute and keep numeric values as-is.,"Later derive obs_count, mean, median, min, max, last per 8h block from total observed respiratory-rate values.",220210/224690 present in 140/140 demo ICU stays.,direct,medium,External unit reference confirms respiratory rate is a pure unit match; the existing mapping remains unchanged.,"ASIC source_map canonical_name=resp_rate uses raw AF; d_items 220210 Respiratory Rate and 224690 Respiratory Rate (Total); demo chartevents for total-rate candidates: 15,244 rows across 140 stays.",shared_primary,direct_or_near_direct,Retained as shared-primary direct respiratory-rate mapping; avoid ventilator set-rate substitution.
core_temp,core_temp_obs_count|core_temp_mean|core_temp_median|core_temp_min|core_temp_max|core_temp_last,Core body temperature,shared_primary,icu,chartevents,"chartevents (same table, supporting site field 224642 Temperature Site)",d_items,Use 223762 Temperature Celsius and 223761 Temperature Fahrenheit as candidate body-temperature sources; optionally inspect 224642 Temperature Site later to restrict to more core-like measurements.,MIMIC target °C; ASIC target °C,Target scale is Celsius. Convert Fahrenheit charted candidates to Celsius using (F-32)*5/9; keep Celsius values as-is; drop implausible values outside the ASIC validity envelope.,"Later derive obs_count, mean, median, min, max, last per 8h block after unit harmonization.",223761/223762 present in 139/140 demo ICU stays.,proxy,high,"Temperature exists in MIMIC via 223762 Celsius and 223761 Fahrenheit, but available dictionary evidence labels these as generic body-temperature channels rather than proven core-temperature equivalents to ASIC Koerperkerntemperatur. Keep this as a high-risk proxy unless later site-level evidence from 224642 or other provenance establishes true core-temperature equivalence.","ASIC source_map canonical_name=core_temp uses raw Koerperkerntemperatur; prior-project YAML tem=223762 and tem_fahrenheit=223761; d_items 223762 Temperature Celsius, 223761 Temperature Fahrenheit, 224642 Temperature Site; demo chartevents: 3,770 rows across 139 stays.",shared_primary,proxy_retained,"Retained as shared-primary proxy: MIMIC generic temperature exists, but core-temperature equivalence is not proven without site/provenance restriction."
spo2,spo2_obs_count|spo2_mean|spo2_median|spo2_min|spo2_max|spo2_last,Peripheral oxygen saturation by pulse oximetry,shared_primary,icu,chartevents,,d_items,220277 O2 saturation pulseoxymetry,%,Keep percent values as-is.,"Later derive obs_count, mean, median, min, max, last per 8h block from SpO2 values.",220277 present in 140/140 demo ICU stays.,direct,low,Clean direct pulse-oximetry mapping.,"ASIC source_map canonical_name=spo2 uses raw SpO2; d_items 220277 label=O2 saturation pulseoxymetry; demo chartevents: 13,540 rows across 140 stays.",shared_primary,direct_or_near_direct,Retained as shared-primary direct pulse-oximetry mapping.
sao2,sao2_obs_count|sao2_mean|sao2_median|sao2_min|sao2_max|sao2_last,Arterial oxygen saturation,shared_primary,icu + hosp,chartevents,labevents,d_items + d_labitems,Prefer 220227 Arterial O2 Saturation from chartevents; secondary candidate 50817 Oxygen Saturation from blood-gas labevents if later specimen-level review supports arterial interpretation.,% in MIMIC; % target in ASIC,No numeric conversion needed; keep percent values as-is and do not mix with pulse-ox SpO2.,"Later derive obs_count, mean, median, min, max, last per 8h block from arterial-saturation values only.",220227 and/or 50817 present in 63/140 demo ICU stays.,weak,high,Prior-project YAML supports the current preferred 220227 Arterial O2 Saturation chartevents item. The row stays weak/high-risk because any broader use of 50817 Oxygen Saturation from blood-gas labevents still depends on arteriality review.,"ASIC source_map canonical_name=sao2 uses raw SaO2; prior-project YAML sao=220227; d_items 220227 label=Arterial O2 Saturation; d_labitems 50817 label=Oxygen Saturation fluid=Blood category=Blood Gas; demo coverage: 35 stays via 220227, 62 via 50817, 63 combined.",shared_primary,accepted_asymmetry_retained,"Retained as shared-primary accepted asymmetry: arterial-labeled chart candidate exists, but broader blood-gas saturation use remains context-dependent."
fio2,fio2_obs_count|fio2_mean|fio2_median|fio2_min|fio2_max|fio2_last,Inspired oxygen fraction,shared_primary,icu,chartevents,,d_items,223835 Inspired O2 Fraction (FiO2),% in MIMIC; % target in ASIC,"Target contract is percent on both sides. Keep values already charted in 21-100 as-is; if a local MIMIC source encodes FiO2 as a 0-1 fraction, multiply by 100 before aggregation.","Later derive obs_count, mean, median, min, max, last per 8h block after unit harmonization.",223835 present in 76/140 demo ICU stays.,direct,high,Prior-project YAML supports the current 223835 Inspired O2 Fraction candidate. The row remains high-risk because the local dictionary unit field is blank and later preprocessing must keep percent-vs-fraction handling explicit.,"ASIC source_map canonical_name=fio2 uses raw FiO2; prior-project YAML fio=223835; ASIC invalid rule expects 20-100 percent; d_items 223835 label=Inspired O2 Fraction abbreviation=FiO2; demo chartevents: 1,746 rows across 76 stays with median value 40.",shared_primary,direct_or_near_direct,Retained as shared-primary direct/near-direct FiO2 mapping with percent/fraction normalization caution.
peep,peep_obs_count|peep_mean|peep_median|peep_min|peep_max|peep_last,Positive end-expiratory pressure,shared_primary,icu,chartevents,"chartevents (same table, secondary respiratory variants)",d_items,Prefer 220339 PEEP set; keep 224700 Total PEEP Level and 224699 ZAuto Peep Level as secondary respiratory variants rather than silent substitutes.,cmH2O in MIMIC; cmH2O target in ASIC,No numeric conversion needed; keep cmH2O as-is.,"Later derive obs_count, mean, median, min, max, last per 8h block from the chosen aligned PEEP stream.",220339 present in 67/140 demo ICU stays; 220339/224700/224699 combined also 67/140.,direct,medium,External unit reference confirms PEEP is a pure cmH2O-to-cmH2O match; the existing source candidates remain acceptable.,"ASIC source_map canonical_name=peep uses raw PEEP; d_items 220339 PEEP set, 224700 Total PEEP Level, 224699 ZAuto Peep Level; demo chartevents: 1,447 rows for 220339 and 1,937 rows for all three candidates across 67 stays.",shared_primary,direct_or_near_direct,Retained as shared-primary direct ventilator setting mapping with source-variant caution.
