variable,candidate_itemid,source_table,candidate_family,candidate_role,label,abbreviation,category,unitname,linksto,param_type,fluid,total_row_count,distinct_icu_stay_count,distinct_hadm_count,distinct_subject_count,non_null_numeric_count,missing_blank_unit_count,min,p25,median,p75,max,observed_unit_counts_json,observed_value_counts_json,context_note,audit_status,skip_reason,current_mapping_quality,current_risk_flag,current_mapping_logic
bicarbonate_art,50803,labevents,blood_gas_measurement,preferred_sparse,"Calculated Bicarbonate, Whole Blood",,Blood Gas,,labevents,,Blood,32994,0,8743,26046,32939,0,2.0,21.0,24.0,26.0,220.0,"{""mEq/L"": 32994}",{},"Calculated Bicarbonate, Whole Blood; sparse and not explicitly arterial.",scanned,,weak,high,"Use 50803 Calculated Bicarbonate, Whole Blood from blood-gas labevents; do not substitute serum bicarbonate chart items 224826/227443, APACHE-derived items 226759/226760, or bicarbonate treatment/input/ingredient items 225165/220995/227533/221211/220994 into the arterial bicarbonate contract."
bicarbonate_art,50882,labevents,serum_measurement,wrong_context,Bicarbonate,,Chemistry,,labevents,,Blood,3934240,0,406904,286974,3933274,1,2.0,23.0,25.0,28.0,132.0,"{"""": 1, ""mEq/L"": 3934239}",{},Serum chemistry bicarbonate; should not masquerade as arterial bicarbonate.,scanned,,weak,high,"Use 50803 Calculated Bicarbonate, Whole Blood from blood-gas labevents; do not substitute serum bicarbonate chart items 224826/227443, APACHE-derived items 226759/226760, or bicarbonate treatment/input/ingredient items 225165/220995/227533/221211/220994 into the arterial bicarbonate contract."
bicarbonate_art,224826,chartevents,serum_measurement,wrong_context,ZHCO3 (serum),ZHCO3 (serum),Labs,,chartevents,Numeric,,0,0,0,0,0,0,,,,,,{},{},Charted serum bicarbonate mirror; wrong context for arterial bicarbonate.,scanned,,weak,high,"Use 50803 Calculated Bicarbonate, Whole Blood from blood-gas labevents; do not substitute serum bicarbonate chart items 224826/227443, APACHE-derived items 226759/226760, or bicarbonate treatment/input/ingredient items 225165/220995/227533/221211/220994 into the arterial bicarbonate contract."
bicarbonate_art,227443,chartevents,serum_measurement,wrong_context,HCO3 (serum),HCO3 (serum),Labs,,chartevents,Numeric with tag,,592372,91221,82875,63819,592372,124,0.0,21.0,24.0,27.0,999999.0,"{"""": 124, ""mEq/L"": 592248}",{},Charted serum bicarbonate mirror; wrong context for arterial bicarbonate.,scanned,,weak,high,"Use 50803 Calculated Bicarbonate, Whole Blood from blood-gas labevents; do not substitute serum bicarbonate chart items 224826/227443, APACHE-derived items 226759/226760, or bicarbonate treatment/input/ingredient items 225165/220995/227533/221211/220994 into the arterial bicarbonate contract."
bicarbonate_art,226759,chartevents,apache_score,wrong_context,HCO3ApacheIIValue,HCO3ApacheIIValue,Scores - APACHE II,,chartevents,Numeric,,16,12,12,12,16,16,13.0,17.75,21.0,22.25,31.0,"{"""": 16}",{},APACHE-derived value; not a raw measurement.,scanned,,weak,high,"Use 50803 Calculated Bicarbonate, Whole Blood from blood-gas labevents; do not substitute serum bicarbonate chart items 224826/227443, APACHE-derived items 226759/226760, or bicarbonate treatment/input/ingredient items 225165/220995/227533/221211/220994 into the arterial bicarbonate contract."
bicarbonate_art,226760,chartevents,apache_score,wrong_context,HCO3Score,HCO3Score,Scores - APACHE II,,chartevents,Numeric,,19,14,14,14,19,19,0.0,0.0,0.0,0.0,4.0,"{"""": 19}",{},APACHE score component; not a raw measurement.,scanned,,weak,high,"Use 50803 Calculated Bicarbonate, Whole Blood from blood-gas labevents; do not substitute serum bicarbonate chart items 224826/227443, APACHE-derived items 226759/226760, or bicarbonate treatment/input/ingredient items 225165/220995/227533/221211/220994 into the arterial bicarbonate contract."
bicarbonate_art,225165,inputevents,treatment_input,wrong_context,Bicarbonate Base,Bicarbonate Base,Fluids/Intake,mL,inputevents,Solution,,0,0,0,0,0,0,,,,,,{},{},"Bicarbonate treatment/input, not a patient measurement.",scanned,,weak,high,"Use 50803 Calculated Bicarbonate, Whole Blood from blood-gas labevents; do not substitute serum bicarbonate chart items 224826/227443, APACHE-derived items 226759/226760, or bicarbonate treatment/input/ingredient items 225165/220995/227533/221211/220994 into the arterial bicarbonate contract."
bicarbonate_art,220995,inputevents,treatment_input,wrong_context,Sodium Bicarbonate 8.4%,Sodium Bicarbonate 8.4%,Medications,mEq,inputevents,Solution,,10203,3802,3748,3603,10203,0,0.0375000005587935,46.125,114.375,150.0,7545.778503417969,"{""/hour"": 4, ""mEq"": 10199}",{},"Sodium bicarbonate medication/input, not a patient measurement.",scanned,,weak,high,"Use 50803 Calculated Bicarbonate, Whole Blood from blood-gas labevents; do not substitute serum bicarbonate chart items 224826/227443, APACHE-derived items 226759/226760, or bicarbonate treatment/input/ingredient items 225165/220995/227533/221211/220994 into the arterial bicarbonate contract."
bicarbonate_art,227533,inputevents,treatment_input,wrong_context,Sodium Bicarbonate 8.4% (Amp),Sodium Bicarbonate 8.4% (Amp),Fluids/Intake,mL,inputevents,Solution,,6646,2797,2771,2711,6646,0,0.0,50.0,50.0,50.0,1000.0,"{""mL"": 6646}",{},"Sodium bicarbonate amp input, not a patient measurement.",scanned,,weak,high,"Use 50803 Calculated Bicarbonate, Whole Blood from blood-gas labevents; do not substitute serum bicarbonate chart items 224826/227443, APACHE-derived items 226759/226760, or bicarbonate treatment/input/ingredient items 225165/220995/227533/221211/220994 into the arterial bicarbonate contract."
bicarbonate_art,221211,inputevents,treatment_input,wrong_context,"Sodium Bicarbonate 1,4%","NaBic 1,4%",Fluids - Other (Not In Use),mL,inputevents,Solution,,0,0,0,0,0,0,,,,,,{},{},Sodium bicarbonate input item not in use; not a patient measurement.,scanned,,weak,high,"Use 50803 Calculated Bicarbonate, Whole Blood from blood-gas labevents; do not substitute serum bicarbonate chart items 224826/227443, APACHE-derived items 226759/226760, or bicarbonate treatment/input/ingredient items 225165/220995/227533/221211/220994 into the arterial bicarbonate contract."
