source_table,variable,raw_candidate_row_count_loaded,raw_row_count_retained_after_stay_time_filtering,assigned_block_row_count,raw_rows_dropped_negative_time_h,raw_rows_landing_beyond_completed_grid,raw_rows_exactly_on_8h_boundary,total_assigned_observations,status,rows_retained_for_aggregation,rows_excluded_by_source_preference
chartevents,,63768088,19493431,19276085,38232,217346,23228,0,scanned,0,0
labevents,,35709485,2834908,2248728,159250,586180,1981,0,scanned,0,0
derived,pf_ratio,0,0,0,0,0,0,102326,materialized_block_level_derivation,102326,0
derived,vt_per_kg_ibw,0,0,0,0,0,0,96262,materialized_block_level_derivation,96262,0
chartevents,albumin,0,0,24198,0,0,0,0,assigned,0,24198
chartevents,base_excess_art,0,0,176760,0,0,0,176760,assigned,176760,0
chartevents,bilirubin_total,0,0,49909,0,0,0,0,assigned,0,49909
chartevents,core_temp,0,0,713918,0,0,0,713918,assigned,713918,0
chartevents,creatinine,0,0,171211,0,0,0,0,assigned,0,171211
chartevents,crp,0,0,2208,0,0,0,0,assigned,0,2208
chartevents,dbp,0,0,2466721,0,0,0,2466721,assigned,2466721,0
chartevents,etco2,0,0,67352,0,0,0,67352,assigned,67352,0
chartevents,fio2,0,0,521899,0,0,0,521899,assigned,521899,0
chartevents,heart_rate,0,0,2474041,0,0,0,2474041,assigned,2474041,0
chartevents,hematocrit,0,0,177378,0,0,0,0,assigned,0,177378
chartevents,hemoglobin,0,0,160069,0,0,0,0,assigned,0,160069
chartevents,inr,0,0,102452,0,0,0,0,assigned,0,102452
chartevents,map,0,0,2469954,0,0,0,2469954,assigned,2469954,0
chartevents,paco2,0,0,176768,0,0,0,176768,assigned,176768,0
chartevents,pao2,0,0,176773,0,0,0,176773,assigned,176773,0
chartevents,peep,0,0,570467,0,0,0,441587,assigned,441587,128880
chartevents,ph_art,0,0,179960,0,0,0,179960,assigned,179960,0
chartevents,platelets,0,0,147947,0,0,0,0,assigned,0,147947
chartevents,ptt,0,0,113832,0,0,0,0,assigned,0,113832
chartevents,resp_rate,0,0,2836598,0,0,0,2836598,assigned,2836598,0
chartevents,sao2,0,0,46424,0,0,0,46424,assigned,46424,0
chartevents,sbp,0,0,2467108,0,0,0,2467108,assigned,2467108,0
chartevents,spo2,0,0,2446526,0,0,0,2446526,assigned,2446526,0
chartevents,urea,0,0,170171,0,0,0,0,assigned,0,170171
chartevents,vt,0,0,220566,0,0,0,220566,assigned,220566,0
chartevents,wbc,0,0,144875,0,0,0,0,assigned,0,144875
labevents,albumin,0,0,23906,0,0,0,23906,assigned,23906,0
labevents,base_excess_art,0,0,199902,0,0,0,0,assigned,0,199902
labevents,bilirubin_total,0,0,49031,0,0,0,49031,assigned,49031,0
labevents,creatinine,0,0,170002,0,0,0,169304,assigned,169304,698
labevents,crp,0,0,2133,0,0,0,2126,assigned,2126,7
labevents,hematocrit,0,0,176227,0,0,0,159724,assigned,159724,16503
labevents,hemoglobin,0,0,163003,0,0,0,146496,assigned,146496,16507
labevents,inr,0,0,101508,0,0,0,101508,assigned,101508,0
labevents,lactate_art,0,0,111752,0,0,0,111752,assigned,111752,0
labevents,paco2,0,0,199897,0,0,0,0,assigned,0,199897
labevents,pao2,0,0,199990,0,0,0,0,assigned,0,199990
labevents,ph_art,0,0,209193,0,0,0,0,assigned,0,209193
labevents,platelets,0,0,146943,0,0,0,146943,assigned,146943,0
labevents,ptt,0,0,112809,0,0,0,112809,assigned,112809,0
labevents,sao2,0,0,65308,0,0,0,0,assigned,0,65308
labevents,urea,0,0,168966,0,0,0,168966,assigned,168966,0
labevents,wbc,0,0,143864,0,0,0,143864,assigned,143864,0
