variable,preferred_source_table,preferred_itemids,secondary_source_table_excluded,rows_retained_for_aggregation,rows_excluded_by_source_preference,note
heart_rate,chartevents,220045,,2474041,0,Preferred source/item candidates retained for main b2 aggregation.
sbp,chartevents,220179|220050,,2467108,0,Preferred source/item candidates retained for main b2 aggregation.
map,chartevents,220181|220052,,2469954,0,Preferred source/item candidates retained for main b2 aggregation.
dbp,chartevents,220180|220051,,2466721,0,Preferred source/item candidates retained for main b2 aggregation.
resp_rate,chartevents,220210|224690,,2836598,0,Preferred source/item candidates retained for main b2 aggregation.
core_temp,chartevents,223762|223761,,713918,0,Preferred source/item candidates retained for main b2 aggregation.
spo2,chartevents,220277,,2446526,0,Preferred source/item candidates retained for main b2 aggregation.
sao2,chartevents,220227,labevents,46424,65308,Preferred source/item candidates retained for main b2 aggregation.
fio2,chartevents,223835,,521899,0,Preferred source/item candidates retained for main b2 aggregation.
peep,chartevents,220339,chartevents,441587,128880,Preferred source/item candidates retained for main b2 aggregation.
vt,chartevents,224684,,220566,0,Preferred source/item candidates retained for main b2 aggregation.
etco2,chartevents,228640,,67352,0,Preferred source/item candidates retained for main b2 aggregation.
pao2,chartevents,220224,labevents,176773,199990,Preferred source/item candidates retained for main b2 aggregation.
paco2,chartevents,220235,labevents,176768,199897,Preferred source/item candidates retained for main b2 aggregation.
ph_art,chartevents,223830,labevents,179960,209193,Preferred source/item candidates retained for main b2 aggregation.
base_excess_art,chartevents,224828,labevents,176760,199902,Preferred source/item candidates retained for main b2 aggregation.
lactate_art,labevents,50813|52442,,111752,0,Preferred source/item candidates retained for main b2 aggregation.
hemoglobin,labevents,51222|51640,chartevents|labevents,146496,176576,Preferred source/item candidates retained for main b2 aggregation.
hematocrit,labevents,51221|51638|51639,chartevents|labevents,159724,193881,Preferred source/item candidates retained for main b2 aggregation.
wbc,labevents,51301,chartevents,143864,144875,Preferred source/item candidates retained for main b2 aggregation.
platelets,labevents,51265|51704,chartevents,146943,147947,Preferred source/item candidates retained for main b2 aggregation.
inr,labevents,51237|51675,chartevents,101508,102452,Preferred source/item candidates retained for main b2 aggregation.
ptt,labevents,51275|52923,chartevents,112809,113832,Preferred source/item candidates retained for main b2 aggregation.
albumin,labevents,50862|53085,chartevents,23906,24198,Preferred source/item candidates retained for main b2 aggregation.
crp,labevents,50889,chartevents|labevents,2126,2215,Preferred source/item candidates retained for main b2 aggregation.
bilirubin_total,labevents,50885|53089,chartevents,49031,49909,Preferred source/item candidates retained for main b2 aggregation.
urea,labevents,51006|52647,chartevents,168966,170171,Preferred source/item candidates retained for main b2 aggregation.
creatinine,labevents,50912|52546,chartevents|labevents,169304,171909,Preferred source/item candidates retained for main b2 aggregation.
