metric,value,scope
age_at_icu_intime_count,10648.0,retained_cohort
age_at_icu_intime_min,18.0,retained_cohort
age_at_icu_intime_p25,53.0,retained_cohort
age_at_icu_intime_median,65.0,retained_cohort
age_at_icu_intime_p75,76.0,retained_cohort
age_at_icu_intime_max,98.0,retained_cohort
icu_los_hours_count,10648.0,retained_cohort
icu_los_hours_min,23.245277769863605,retained_cohort
icu_los_hours_p25,86.85034722369164,retained_cohort
icu_los_hours_median,151.1493055522442,retained_cohort
icu_los_hours_p75,279.2034027753398,retained_cohort
icu_los_hours_max,3832.0033333338797,retained_cohort
total_invasive_hours_count,10648.0,retained_cohort
total_invasive_hours_min,24.0,retained_cohort
total_invasive_hours_p25,43.91666667256504,retained_cohort
total_invasive_hours_median,86.95000000298023,retained_cohort
total_invasive_hours_p75,188.4166666623205,retained_cohort
total_invasive_hours_max,2413.85000000149,retained_cohort
icu_mortality_count,2210.0,retained_cohort
death_after_icu_outtime_count,601.0,retained_cohort
missing_discharge_location_count,16.0,retained_cohort
vent_vs_los_qc_guard_fail_count,112.0,adult_first_stay_with_invasive_vent_ge_24h
noninvasive_vent_episode_stay_count,632.0,retained_cohort_context_only
noninvasive_vent_total_hours_sum,14562.950000021607,retained_cohort_context_only
retained_icu_los_hours_lt_24_count,1.0,retained_cohort_ventilation_timing_qc
retained_total_invasive_hours_gt_icu_los_count,164.0,retained_cohort_ventilation_timing_qc
retained_total_invasive_hours_gt_icu_los_plus_2_count,6.0,retained_cohort_ventilation_timing_qc
retained_total_invasive_hours_gt_icu_los_plus_4_count,0.0,retained_cohort_ventilation_timing_qc
retained_invasive_and_noninvasive_episode_count,632.0,retained_cohort_context_only
valid_prediction_instance_eligibility_enforced,0.0,deferred_after_block_construction
