variable,final_role,freeze_decision,raw_block_observation_count,preprocessed_non_missing_count,preprocessed_missing_count,preprocessed_non_missing_fraction,model_ready_rows_checked,verification_status,note
heart_rate,shared_primary,direct_or_near_direct,2474041.0,854973,52,0.9999391830648227,855025,verified_directly,Preprocessed missingness uses `heart_rate_last` as representative LOCF-ready feature over configured horizons.
sbp,shared_primary,direct_or_near_direct,2467108.0,828485,26540,0.9689599719306453,855025,verified_directly,Preprocessed missingness uses `sbp_last` as representative LOCF-ready feature over configured horizons.
map,shared_primary,direct_or_near_direct,2469954.0,828479,26546,0.968952954591971,855025,verified_directly,Preprocessed missingness uses `map_last` as representative LOCF-ready feature over configured horizons.
dbp,shared_primary,direct_or_near_direct,2466721.0,828459,26566,0.9689295634630566,855025,verified_directly,Preprocessed missingness uses `dbp_last` as representative LOCF-ready feature over configured horizons.
resp_rate,shared_primary,direct_or_near_direct,2836598.0,854165,860,0.9989941814566825,855025,verified_directly,Preprocessed missingness uses `resp_rate_last` as representative LOCF-ready feature over configured horizons.
core_temp,shared_primary,proxy_retained,713918.0,816696,38329,0.9551720709920762,855025,verified_directly,Preprocessed missingness uses `core_temp_last` as representative LOCF-ready feature over configured horizons.
spo2,shared_primary,direct_or_near_direct,2446526.0,853706,1319,0.998457355048098,855025,verified_directly,Preprocessed missingness uses `spo2_last` as representative LOCF-ready feature over configured horizons.
sao2,shared_primary,accepted_asymmetry_retained,46424.0,89155,765870,0.10427180491798485,855025,verified_directly,Preprocessed missingness uses `sao2_last` as representative LOCF-ready feature over configured horizons.
fio2,shared_primary,direct_or_near_direct,521899.0,717386,137639,0.8390234203678255,855025,verified_directly,Preprocessed missingness uses `fio2_last` as representative LOCF-ready feature over configured horizons.
peep,shared_primary,direct_or_near_direct,441587.0,641655,213370,0.7504517411771585,855025,verified_directly,Preprocessed missingness uses `peep_last` as representative LOCF-ready feature over configured horizons.
vt,shared_primary,accepted_asymmetry_retained,220566.0,458947,396078,0.5367644220929213,855025,verified_directly,Preprocessed missingness uses `vt_last` as representative LOCF-ready feature over configured horizons.
vt_per_kg_ibw,shared_primary,derived_only,0.0,0,855025,0.0,855025,verified_directly,Preprocessed missingness uses `vt_per_kg_ibw_last` as representative LOCF-ready feature over configured horizons. Derived-only variable; materialization remains deferred or sparse according to prior freeze.
etco2,shared_primary,direct_or_near_direct,67352.0,182478,672547,0.21341832110172218,855025,verified_directly,Preprocessed missingness uses `etco2_last` as representative LOCF-ready feature over configured horizons.
pf_ratio,shared_primary,derived_only,0.0,0,855025,0.0,855025,verified_directly,Preprocessed missingness uses `pf_ratio_last` as representative LOCF-ready feature over configured horizons. Derived-only variable; materialization remains deferred or sparse according to prior freeze.
pao2,shared_primary,direct_or_near_direct,176773.0,432684,422341,0.5060483611590304,855025,verified_directly,Preprocessed missingness uses `pao2_last` as representative LOCF-ready feature over configured horizons.
paco2,shared_primary,direct_or_near_direct,176768.0,432676,422349,0.5060390047074647,855025,verified_directly,Preprocessed missingness uses `paco2_last` as representative LOCF-ready feature over configured horizons.
ph_art,shared_primary,direct_or_near_direct,179960.0,436876,418149,0.5109511417794801,855025,verified_directly,Preprocessed missingness uses `ph_art_last` as representative LOCF-ready feature over configured horizons.
