variable,candidate_itemid,source_table,candidate_family,candidate_role,label,abbreviation,category,unitname,linksto,param_type,fluid,total_row_count,distinct_icu_stay_count,distinct_hadm_count,distinct_subject_count,non_null_numeric_count,missing_blank_unit_count,min,p25,median,p75,max,observed_unit_counts_json,observed_value_counts_json,context_note,audit_status,skip_reason,current_mapping_quality,current_risk_flag,current_mapping_logic
core_temp,223762,chartevents,generic_temperature,candidate,Temperature Celsius,Temperature C,Routine Vital Signs,°C,chartevents,Numeric,,394843,9873,9671,9325,394843,0,0.0,36.4,37.0,37.5,3467.0,"{""\u00b0C"": 394843}",{},Celsius body-temperature channel; does not by itself prove core-temperature site.,scanned,,proxy,high,Use 223762 Temperature Celsius and 223761 Temperature Fahrenheit as candidate body-temperature sources; optionally inspect 224642 Temperature Site later to restrict to more core-like measurements.
core_temp,223761,chartevents,generic_temperature,candidate,Temperature Fahrenheit,Temperature F,Routine Vital Signs,°F,chartevents,Numeric,,2055040,92837,84073,64441,2055040,0,-99.9,97.9,98.4,99.0,234123.0,"{""\u00b0F"": 2055040}",{},Fahrenheit body-temperature channel requiring Celsius conversion; does not by itself prove core-temperature site.,scanned,,proxy,high,Use 223762 Temperature Celsius and 223761 Temperature Fahrenheit as candidate body-temperature sources; optionally inspect 224642 Temperature Site later to restrict to more core-like measurements.
core_temp,224642,chartevents,temperature_site,support,Temperature Site,Temp Site,Routine Vital Signs,,chartevents,Text,,2500193,93641,84784,65039,0,2500193,,,,,,"{"""": 2500193}","{""Oral"": 1707013, ""Blood"": 356510, ""Axillary"": 207919, ""Temporal"": 84939, ""Esophogeal"": 74803, ""Rectal"": 65310, ""Tympanic"": 3699}",Text site field that may indicate whether later site restriction is feasible.,scanned,,proxy,high,Use 223762 Temperature Celsius and 223761 Temperature Fahrenheit as candidate body-temperature sources; optionally inspect 224642 Temperature Site later to restrict to more core-like measurements.
urea,51006,labevents,bun_urea_nitrogen_lab,primary_proxy,Urea Nitrogen,,Chemistry,,labevents,,Blood,4202807,0,411897,293471,4200700,1,0.0,12.0,18.0,28.0,305.0,"{"""": 1, ""mg/dL"": 4202806}",{},"Chemistry Urea Nitrogen/BUN lab source; supports analyte-conversion proxy, not native urea.",scanned,,proxy,high,"Primary candidate is Urea Nitrogen 51006 and 52647 from chemistry labs; 225624 BUN is a charted lab mirror. Treat this as an analyte-conversion mapping, not as a native identical variable."
urea,52647,labevents,bun_urea_nitrogen_lab,primary_proxy,Urea Nitrogen,,Chemistry,,labevents,,Blood,1235,0,0,997,1228,0,3.0,11.0,15.0,21.0,139.0,"{""mg/dL"": 1235}",{},Additional Urea Nitrogen lab source; often absent in demo.,scanned,,proxy,high,"Primary candidate is Urea Nitrogen 51006 and 52647 from chemistry labs; 225624 BUN is a charted lab mirror. Treat this as an analyte-conversion mapping, not as a native identical variable."
urea,225624,chartevents,bun_chart_mirror,secondary_proxy,BUN,BUN,Labs,,chartevents,Numeric,,589452,91221,82878,63823,589452,118,0.0,14.0,24.0,41.0,999999.0,"{"""": 118, ""mg/dL"": 589334}",{},Charted BUN mirror; supports BUN/urea proxy only.,scanned,,proxy,high,"Primary candidate is Urea Nitrogen 51006 and 52647 from chemistry labs; 225624 BUN is a charted lab mirror. Treat this as an analyte-conversion mapping, not as a native identical variable."
sao2,220227,chartevents,arterial_labeled_chart,preferred,Arterial O2 Saturation,SaO2,Labs,%,chartevents,Numeric,,119101,22257,21486,20004,119101,0,0.0,94.0,96.0,98.0,999999.0,"{""%"": 119101}",{},Arterial-labeled chart candidate.,scanned,,weak,high,Prefer 220227 Arterial O2 Saturation from chartevents; secondary candidate 50817 Oxygen Saturation from blood-gas labevents if later specimen-level review supports arterial interpretation.
sao2,50817,labevents,blood_gas_lab,conditional_secondary,Oxygen Saturation,,Blood Gas,,labevents,,Blood,239559,0,36316,42321,239342,0,0.2,70.0,94.0,97.0,998.0,"{""%"": 239559}",{},Broader blood-gas oxygen saturation; arteriality/provenance must stay visible.,scanned,,weak,high,Prefer 220227 Arterial O2 Saturation from chartevents; secondary candidate 50817 Oxygen Saturation from blood-gas labevents if later specimen-level review supports arterial interpretation.
lactate_art,225668,chartevents,chart_lactate_like,conditional_mirror,Lactic Acid,Lactic Acid,Labs,,chartevents,Numeric,,324771,55650,51577,42581,324771,23,0.0,1.2,1.8,2.8,1276100.0,"{"""": 23, ""mmol/L"": 324748}",{},Charted Lactic Acid candidate; same analyte but arterial/blood-gas context not proven.,scanned,,weak,high,Use blood-gas lactate itemids 50813 and 52442; prior-project 225668 Lactic Acid is a chartevents lactate mirror candidate only if later provenance confirms blood-gas/arterial alignment; do not silently substitute chemistry lactate 53154 into the shared-primary mapping.
lactate_art,50813,labevents,blood_gas_lab,preferred,Lactate,,Blood Gas,,labevents,,Blood,670016,0,111558,136279,669697,0,-1.1,1.2,1.7,2.5,1276103.0,"{""mmol/L"": 670016}",{},Blood-gas lactate source; arteriality remains a provenance question.,scanned,,weak,high,Use blood-gas lactate itemids 50813 and 52442; prior-project 225668 Lactic Acid is a chartevents lactate mirror candidate only if later provenance confirms blood-gas/arterial alignment; do not silently substitute chemistry lactate 53154 into the shared-primary mapping.
